student_id,age,gender,gaming_hours,study_hours,sleep_hours,attendance,gaming_genre,social_activity,device_usage,reaction_time_ms,addiction_score,stress_level,grades,letter_grade
1,22,Male,7.23,8.78,6.96,91.44,FPS,3.25,9.36,235.84,14.69,Low,86.45955466333767,B
2,19,Male,0.07,8.72,7.63,63.63,Casual,1.02,3.21,328.71,2.47,Medium,98.23,A
3,23,Female,1.73,9.56,4.4,83.26,Casual,3.46,5.56,313.61,4.73,High,90.56,A-
4,20,Female,6.62,1.68,7.83,75.04,RPG,1.46,11.78,241.84,14.54,Low,32.67,F
5,22,Female,5.36,5.83,5.55,65.57,FPS,1.01,8.23,249.31,12.48,Low,58.71,F
6,18,Male,7.16,6.84,8.03,68.11,RPG,3.74,10.9,242.75,18.75,Low,57.52,F
7,22,Female,0.46,7.4,6.55,91.25,Casual,1.81,2.86,320.2,1.74,Medium,94,A
8,23,Female,4.78,6.79,5.37,66.46,FPS,2.85,9.96,271.21,11.75,Medium,62.11,D-
9,20,Female,4.55,7.93,8.76,72.5,FPS,1,9.48,272.39,11.04,Medium,80.94,B-
10,19,Male,0.29,4.24,7.83,71.39,Casual,3.07,5.39,318.59,4.72,Medium,82.34923549620179,B-
11,23,Female,4.11,2.61,8.93,61.95,RPG,1.04,5.4,273.33,10.57,Medium,52.31,F
12,23,Female,4.88,2.84,5.82,78.49,RPG,0.83,8.31,268.46,9.32,Medium,42.02,F
13,18,Male,1.53,1.11,7.25,90.64,FPS,1.93,3.21,287.14,3.55,Medium,63.05,D
14,21,Female,2.19,4.15,7.06,60.89,Casual,3.95,6.56,307.02,8.78,Medium,73.28,C
15,20,Male,5.12,1.83,7.44,64.5,FPS,0.88,7.68,263.06,10.85,Low,37.13,F
16,17,Male,3.75,3.89,4.19,88.81,Casual,0.59,8.62,266.54,12.72,Medium,57.02,F
17,23,Male,6.86,6.65,5.46,83.74,FPS,0.16,8.19,239.53,15.76,Low,62.09,D-
18,21,Female,2.74,9.05,8.55,88.61,Casual,2.08,6.31,300.31,10.78,Medium,100,A
19,17,Male,2.13,8.56,6.12,69.2,FPS,1.41,3.75,297.34,4.45,Medium,91.13,A-
20,20,Male,7.88,3.27,8.8,92.15,RPG,1.46,11.67,218.12,19.06,Low,42.31,F
21,16,Female,7.29,2.21,5.07,79.19,Casual,4.91,11.33,219.78,18.07,Low,18.54,F
22,21,Male,0.23,2.74,8.99,84.41,FPS,0.97,3.54,341.89,4.27,Medium,76.12,C
23,24,Female,6.17,9.74,7.49,63.69,FPS,2.29,8.57,228.57,14.25,Low,100,A
24,16,Female,0.88,5.95,7.88,68.2,Casual,4.93,2.04,312.81,4.57,Medium,92.02,A-
25,18,Female,0.22,2.64,5.98,90.93,FPS,0.15,4.53,311.49,1.33,Medium,56.32,F
26,22,Female,2.19,8.57,8.54,68.96,Casual,3.48,7.54,304.14,6.94,Medium,100,A
27,19,Female,2.15,4.56,6.73,63.7,FPS,1.86,6.82,282.04,3.66,Medium,75.09,C
28,24,Male,6.55,9.09,7.4,83.89,RPG,4.53,12.02,257.48,15.3,Low,88.42652901676423,B+
29,18,Female,5.69,3.35,4.47,81.92,FPS,4.56,11.34,250.47,12.5,Low,39.16,F
30,20,Male,7.85,4.54,7.16,84.32,Casual,1.94,11.1,223.6,17.99,Low,44.94,F
31,18,Female,5.69,5.54,8.4,84.73,FPS,1.11,10.18,248.59,15.6,Low,69.53,D+
32,22,Male,3.35,9.03,4.89,80.01,RPG,2.14,6.34,273.87,9.32,High,88.37,B+
33,20,Female,5.59,8.82,7.69,79.75,FPS,4.83,11.19,249.23,15.54,Low,88.78828867430884,B+
34,24,Female,8,6.17,4.13,96.97,RPG,1.41,11.81,231.18,18.1,Low,40.92761123181735,F
35,22,Female,5.68,3,8.63,81.36,FPS,4.91,10.44,234.62,13.46,Low,42.99,F
36,17,Male,6.09,4.63,8.91,84.69,FPS,4.1,7.16,239.43,10.37,Low,62.63,D-
37,19,Male,7.51,9.78,5.77,70.68,RPG,1.34,11.39,244.83,13.11,High,71.67337105144001,C-
38,24,Female,0.91,6.47,4.54,94.84,FPS,3.96,5.62,308.18,1.16,Medium,83.48,B
39,17,Female,5.64,8.03,7.29,60.97,Casual,0.25,7.93,246.6,11.1,Low,74.54685540039097,C
