Df,Sum Sq,Mean Sq,F value,Pr(>F),term,model
800,1506875.2368653645,1883.5940460817055,5.525472418589739,0,factor(df$gaming_hours),gaming
7199,2454087.6345923566,340.8928510338042,NA,NA,Residuals              ,gaming
900,2353451.715161369,2614.9463501792993,11.547978418197998,0,factor(df$study_hours),study
7099,1607511.1562963575,226.44191524107023,NA,NA,Residuals             ,study
500,481196.77934733086,962.3935586946617,2.0739869018823494,5.647494422502329e-36,factor(df$sleep_hours),sleep
7499,3479766.0921103857,464.0306830391233,NA,NA,Residuals             ,sleep
3471,1756240.8557261662,505.9754698145106,1.0391590917006814,0.11385598569414206,factor(df$attendance),attendance
4528,2204722.0157315605,486.9085723788782,NA,NA,Residuals            ,attendance
2038,1737891.7122256218,852.7437253315122,2.2865688871862364,5.255114076169463e-129,factor(df$addiction_score),addiction
5961,2223071.1592320935,372.93594350479674,NA,NA,Residuals                 ,addiction
